,VLP,gp120
0.090566,5.541264,
0.090756,5.537334,
0.104608,5.533389,
0.10566,5.529429,
0.10566,5.525453,
0.119552,5.521461,
0.119552,5.517453,
0.119552,5.513429,
0.120755,5.509388,
0.120755,5.505332,
0.120755,5.501258,
0.120755,5.497168,
0.120755,5.493061,
0.120755,5.488938,
0.120755,5.484797,
0.120755,5.480639,
0.120755,5.476464,
0.124528,5.472271,
0.134496,5.46806,
0.134496,5.463832,
0.134496,5.459586,
0.135849,5.455321,
0.135849,5.451038,
0.135849,5.446737,
0.135849,5.442418,
0.135849,5.438079,
0.135849,5.433722,
0.135849,5.429346,
0.135849,5.42495,
0.135849,5.420535,
0.135849,5.4161,
0.135849,5.411646,
0.135849,5.407172,
0.135849,5.402677,
0.136986,5.398163,
0.145704,5.393628,
0.14944,5.389072,
0.14944,5.384495,
0.150943,5.379897,
0.150943,5.375278,
0.150943,5.370638,
0.150943,5.365976,
0.150943,5.361292,
0.150943,5.356586,
0.150943,5.351858,
0.150943,5.347108,
0.150943,5.342334,
0.150943,5.337538,
0.150943,5.332719,
0.150943,5.327876,
0.152201,5.32301,
0.164384,5.31812,
0.166038,5.313206,
0.166038,5.308268,
0.166038,5.303305,
0.166038,5.298317,
0.166038,5.293305,
0.166038,5.288267,
0.166038,5.283204,
0.166038,5.278115,
0.166038,5.273,
0.166038,5.267858,
0.166038,5.26269,
0.166038,5.257495,
0.166038,5.252273,
0.166038,5.247024,
0.166038,5.241747,
0.166038,5.236442,
0.166038,5.231109,
0.166038,5.225747,
0.170788,5.220356,
0.178082,5.214936,
0.179328,5.209486,
0.179328,5.204007,
0.181132,5.198497,
0.181132,5.192957,
0.181132,5.187386,
0.181132,5.181784,
0.181132,5.17615,
0.181132,5.170484,
0.181132,5.164786,
0.181132,5.159055,
0.181132,5.153292,
0.181132,5.147494,
0.181132,5.141664,
0.181132,5.135798,
0.191781,5.129899,
0.194271,5.123964,
0.194271,5.117994,
0.194271,5.111988,
0.194309,5.105945,
0.195656,5.099866,
0.196226,5.09375,
0.196226,5.087596,
0.196226,5.081404,
0.196226,5.075174,
0.196226,5.068904,
0.196226,5.062595,
0.196226,5.056246,
0.196226,5.049856,
0.196226,5.043425,
0.196226,5.036953,
0.196226,5.030438,
0.202935,5.023881,
0.207547,5.01728,
0.209215,5.010635,
0.211321,5.003946,
0.211321,4.997212,
0.211321,4.990433,
0.211321,4.983607,
0.211321,4.976734,
0.211321,4.969813,
0.211321,4.962845,
0.211321,4.955827,
0.211321,4.94876,
0.211321,4.941642,
0.211321,4.934474,
0.211321,4.927254,
0.219178,4.919981,
0.221384,4.912655,
0.221384,4.905275,
0.224159,4.89784,
0.224159,4.890349,
0.226415,4.882802,
0.226415,4.875197,
0.226415,4.867534,
0.226415,4.859812,
0.226415,4.85203,
0.226415,4.844187,
0.226415,4.836282,
0.226415,4.828314,
0.226415,4.820282,
0.226415,4.812184,
0.228931,4.804021,
0.239103,4.795791,
0.241509,4.787492,
0.241509,4.779123,
0.241509,4.770685,
0.241509,4.762174,
0.241509,4.75359,
0.241509,4.744932,
0.241509,4.736198,
0.246575,4.727388,
0.249057,4.718499,
0.249057,4.70953,
0.249057,4.70048,
0.249057,4.691348,
0.249057,4.682131,
0.256604,4.672829,
0.256604,4.663439,
0.256604,4.65396,
0.256604,4.644391,
0.256604,4.634729,
0.256604,4.624973,
0.256604,4.615121,
0.256604,4.60517,
0.256604,4.59512,
0.256604,4.584967,
0.256604,4.574711,
0.268991,4.564348,
0.271698,4.553877,
0.271698,4.543295,
0.271698,4.532599,
0.271698,4.521789,
0.271698,4.51086,
0.271698,4.49981,
0.27673,4.488636,
0.286792,4.477337,
0.286792,4.465908,
0.286792,4.454347,
0.298879,4.442651,
0.301887,4.430817,
0.301887,4.418841,
0.301887,4.406719,
0.301887,4.394449,
0.310662,4.382027,
0.316248,4.369448,
0.316981,4.356709,
0.316981,4.343805,
0.316981,4.330733,
0.331202,4.317488,
0.332075,4.304065,
0.332075,4.290459,
0.345912,4.276666,
0.345912,4.26268,
0.34717,4.248495,
0.34717,4.234107,
0.356164,4.219508,
0.358655,4.204693,
0.359748,4.189655,
0.359748,4.174387,
0.362264,4.158883,
0.3635,4.143135,
0.373599,4.127134,
0.377358,4.110874,
0.377358,4.094345,
0.377358,4.077537,
0.377375,4.060443,
0.388543,4.043051,
0.403487,4.025352,
0.403487,4.007333,
0.407547,3.988984,
0.407547,3.970292,
0.407547,3.951244,
0.407547,3.931826,
0.422642,3.912023,
0.422642,3.89182,
0.437736,3.871201,
0.442767,3.850148,
0.449564,3.828641,
0.451983,3.806662,
0.45283,3.78419,
0.45283,3.7612,
0.45283,3.73767,
0.456604,3.713572,
0.483019,3.688879,
0.498113,3.663562,
0.513208,3.637586,
0.513208,3.610918,
0.520466,3.583519,
0.528302,3.555348,
0.558491,3.526361,
0.586638,3.496508,
0.603774,3.465736,
0.619247,3.433987,
0.633962,3.401197,
0.633962,3.367296,
0.638347,3.332205,
0.638347,3.295837,
0.638347,3.258097,
0.638347,3.218876,
0.679245,3.178054,
0.702366,3.135494,
0.709434,3.091042,
0.784906,3.044522,
0.845283,2.995732,
0.875472,2.944439,
0.890566,2.890372,
0.920755,2.833213,
0.927044,2.772589,
0.935849,2.70805,
1.011321,2.639057,
1.031133,2.564949,
1.071698,2.484907,
1.132075,2.397895,
1.917724,2.302585,
2.196762,2.197225,
2.4,2.079442,
2.43522,1.94591,
2.595896,1.791759,
2.830896,1.609438,
3.064151,1.386294,
4.703596,1.098612,
5.222642,0.693147,
5.729096,0,
0.034775,,4.644391
0.07472,,4.634729
0.07472,,4.624973
0.078456,,4.615121
0.082192,,4.60517
0.082192,,4.59512
0.08805,,4.584967
0.08805,,4.574711
0.089664,,4.564348
0.090566,,4.553877
0.090566,,4.543295
0.096855,,4.532599
0.099626,,4.521789
0.100629,,4.51086
0.101887,,4.49981
0.101887,,4.488636
0.101887,,4.477337
0.104608,,4.465908
0.104608,,4.454347
0.107079,,4.442651
0.109589,,4.430817
0.109589,,4.418841
0.11208,,4.406719
0.11208,,4.394449
0.11208,,4.382027
0.113208,,4.369448
0.113208,,4.356709
0.113208,,4.343805
0.113208,,4.330733
0.119552,,4.317488
0.119552,,4.304065
0.119552,,4.290459
0.120755,,4.276666
0.123288,,4.26268
0.124528,,4.248495
0.124533,,4.234107
0.124533,,4.219508
0.125786,,4.204693
0.125786,,4.189655
0.125786,,4.174387
0.125786,,4.158883
0.134496,,4.143135
0.134496,,4.127134
0.138365,,4.110874
0.138365,,4.094345
0.138365,,4.077537
0.138365,,4.060443
0.138365,,4.043051
0.144849,,4.025352
0.145704,,4.007333
0.14944,,3.988984
0.150022,,3.970292
0.150685,,3.951244
0.150943,,3.931826
0.150943,,3.912023
0.150943,,3.89182
0.150943,,3.871201
0.156912,,3.850148
0.161893,,3.828641
0.161893,,3.806662
0.163522,,3.78419
0.163522,,3.7612
0.163522,,3.73767
0.166038,,3.713572
0.16812,,3.688879
0.16812,,3.663562
0.176101,,3.637586
0.176101,,3.610918
0.176101,,3.583519
0.176101,,3.555348
0.181132,,3.526361
0.181132,,3.496508
0.188679,,3.465736
0.188679,,3.433987
0.188679,,3.401197
0.190535,,3.367296
0.193711,,3.332205
0.196226,,3.295837
0.196226,,3.258097
0.199253,,3.218876
0.203774,,3.178054
0.203774,,3.135494
0.213836,,3.091042
0.215094,,3.044522
0.224159,,2.995732
0.226415,,2.944439
0.249057,,2.890372
0.251572,,2.833213
0.254047,,2.772589
0.273973,,2.70805
0.285717,,2.639057
0.316981,,2.564949
0.316981,,2.484907
0.327044,,2.397895
0.388543,,2.302585
0.422642,,2.197225
0.483019,,2.079442
0.520755,,1.94591
0.558491,,1.791759
1.285714,,1.609438
1.8,,1.386294
2,,1.098612
3,,0.693147
3.333333,,0