lifetime (s),VLP,gp120
0.008,4.65396,
0.011,4.644391,
0.02,4.634729,
0.024,4.624973,
0.039,4.615121,
0.041,4.60517,
0.042,4.59512,
0.049,4.584967,
0.055,4.574711,
0.06,4.564348,
0.064,4.553877,
0.065,4.543295,
0.065,4.532599,
0.069,4.521789,
0.072,4.51086,
0.073,4.49981,
0.074,4.488636,
0.077,4.477337,
0.081,4.465908,
0.082,4.454347,
0.082,4.442651,
0.082,4.430817,
0.083,4.418841,
0.084,4.406719,
0.085,4.394449,
0.089,4.382027,
0.09,4.369448,
0.091,4.356709,
0.095,4.343805,
0.098,4.330733,
0.098,4.317488,
0.1,4.304065,
0.1,4.290459,
0.101,4.276666,
0.102,4.26268,
0.102,4.248495,
0.108,4.234107,
0.11,4.219508,
0.112,4.204693,
0.112,4.189655,
0.113,4.174387,
0.115,4.158883,
0.115,4.143135,
0.116,4.127134,
0.118,4.110874,
0.119,4.094345,
0.119,4.077537,
0.12,4.060443,
0.122,4.043051,
0.125,4.025352,
0.129,4.007333,
0.129,3.988984,
0.129,3.970292,
0.133,3.951244,
0.135,3.931826,
0.137,3.912023,
0.137,3.89182,
0.139,3.871201,
0.139,3.850148,
0.139,3.828641,
0.143,3.806662,
0.15,3.78419,
0.151,3.7612,
0.153,3.73767,
0.154,3.713572,
0.161,3.688879,
0.163,3.663562,
0.163,3.637586,
0.165,3.610918,
0.168,3.583519,
0.169,3.555348,
0.169,3.526361,
0.173,3.496508,
0.176,3.465736,
0.176,3.433987,
0.176,3.401197,
0.178,3.367296,
0.189,3.332205,
0.193,3.295837,
0.197,3.258097,
0.201,3.218876,
0.215,3.178054,
0.219,3.135494,
0.219,3.091042,
0.222,3.044522,
0.239,2.995732,
0.25,2.944439,
0.27,2.890372,
0.28,2.833213,
0.282,2.772589,
0.299,2.70805,
0.305,2.639057,
0.309,2.564949,
0.327,2.484907,
0.33,2.397895,
0.336,2.302585,
0.412,2.197225,
0.5,2.079442,
0.51,1.94591,
0.525,1.791759,
0.596,1.609438,
0.663,1.386294,
0.685,1.098612,
0.953,0.693147,
1.186,0,
0.060377,,4.762174
0.090566,,4.75359
0.091907,,4.744932
0.09589,,4.736198
0.09589,,4.727388
0.096855,,4.718499
0.104608,,4.70953
0.10566,,4.70048
0.10566,,4.691348
0.110122,,4.682131
0.110692,,4.672829
0.110692,,4.663439
0.110692,,4.65396
0.110692,,4.644391
0.119552,,4.634729
0.120755,,4.624973
0.120755,,4.615121
0.120755,,4.60517
0.120755,,4.59512
0.120755,,4.584967
0.120755,,4.574711
0.124528,,4.564348
0.124528,,4.553877
0.134496,,4.543295
0.135849,,4.532599
0.135849,,4.521789
0.135849,,4.51086
0.135849,,4.49981
0.136986,,4.488636
0.136986,,4.477337
0.138365,,4.465908
0.138365,,4.454347
0.145548,,4.442651
0.14944,,4.430817
0.14944,,4.418841
0.14944,,4.406719
0.150943,,4.394449
0.150943,,4.382027
0.150943,,4.369448
0.150943,,4.356709
0.150943,,4.343805
0.150943,,4.330733
0.150943,,4.317488
0.150943,,4.304065
0.150943,,4.290459
0.152201,,4.276666
0.164384,,4.26268
0.164384,,4.248495
0.164384,,4.234107
0.164384,,4.219508
0.164384,,4.204693
0.166038,,4.189655
0.166038,,4.174387
0.166038,,4.158883
0.166038,,4.143135
0.166038,,4.127134
0.166038,,4.110874
0.166038,,4.094345
0.166038,,4.077537
0.166038,,4.060443
0.166038,,4.043051
0.178082,,4.025352
0.179328,,4.007333
0.179328,,3.988984
0.179328,,3.970292
0.179874,,3.951244
0.179874,,3.931826
0.179874,,3.912023
0.181132,,3.89182
0.181132,,3.871201
0.181132,,3.850148
0.191781,,3.828641
0.193711,,3.806662
0.193711,,3.78419
0.194271,,3.7612
0.194271,,3.73767
0.196226,,3.713572
0.196226,,3.688879
0.207547,,3.663562
0.211321,,3.637586
0.211321,,3.610918
0.211321,,3.583519
0.214151,,3.555348
0.224159,,3.526361
0.226415,,3.496508
0.226415,,3.465736
0.232877,,3.433987
0.23522,,3.401197
0.241509,,3.367296
0.249057,,3.332205
0.249057,,3.295837
0.249057,,3.258097
0.249057,,3.218876
0.256604,,3.178054
0.27673,,3.135494
0.287671,,3.091042
0.287671,,3.044522
0.301887,,2.995732
0.304403,,2.944439
0.304403,,2.890372
0.313823,,2.833213
0.315068,,2.772589
0.332075,,2.70805
0.332075,,2.639057
0.342466,,2.564949
0.362264,,2.484907
0.367218,,2.397895
0.377358,,2.302585
0.385408,,2.197225
0.407547,,2.079442
0.513208,,1.94591
0.561644,,1.791759
0.582814,,1.609438
0.59256,,1.386294
1.231447,,1.098612
1.826415,,0.693147
1.993524,,0